ID,String
"ch_quick_gold","Beat SLAUGHTERHOUSE within 15 minutes, taking all the gold. To complete this challenge, you will have to have played the heist from the start."
"ch_slaughterhouse_overkill_no_trade","Complete Slaughterhouse on OVERKILL difficulty without anyone getting traded from custody."
"8db63936938575bf",""
"ch_bank_no_bleedouts_hl","First World Bank: Bulletproof"
"ch_me_vs_tank","Defeat ##tank_kill## Bulldozers.  Using Trip Mines or Melee does not count towards this challenge!"
"ch_apartment_on_overkill_145_hl","Brush with death"
"8db63936938575bf",""
"ch_secret_stash_no_deaths_hl","UNDERCOVER: Like a pro"
"8db63936938575bf",""
"ch_meat_packing","Stay inside THE MAIN ROOM in SLAUGHTERHOUSE for an hour or more. To complete this challenge, you will have to have played the heist from the start."
"8db63936938575bf",""
"ch_m4_vs_the_law_2_hl","Amcar-4 VS. the Law II"
"8db63936938575bf",""
"ch_mp5_head_shots","Using the Compact-5, defeat ##mp5_law_head_shot## Law enforcers with headshots. Using Melee does not count towards this challenge!"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_m4_head_shots_4_hl","Amcar-4 expert IV"
"ch_mossberg_vs_the_law_1_hl","Locomotive 12G VS. the Law I"
"ch_glock_vs_the_law_4_hl","STRYK VS. the Law IV"
"ch_cheney","Defeat a Bulldozer with a shotgun."
"8db63936938575bf",""
"ch_mac11_heavy_swat_kill_1_hl","Mark 11 VS. Heavy SWATS"
"ch_intimidating","Get a Heavy SWAT to give up."
"ch_street_no_bleedouts_hl","Heat Street: Bulletproof"
"8db63936938575bf",""
"ch_aquire_money_9_hl","...and that's a lot of cash IX"
"ch_me_vs_the_law","Defeat ##law_kill## Law enforcers.  Using Trip Mines or Melee does not count towards this challenge!"
"ch_cant_touch","Beat HEAT STREET on OVERKILL difficulty, with your group accuracy being at 60% or higher. To complete this challenge, everyone in your crew will have to have played the heist from the start."
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_duck_hunting_hl","A bridge too far!"
"ch_diplomatic","Perform a hostage trade."
"ch_street_no_civilians_hl","Heat Street: Clean hit"
"8db63936938575bf",""
"ch_c45_vs_the_law_3_hl","Crosskill .45 VS. the Law III"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_m4_spooc_head_shot","Using the Amcar-4, defeat ##m4_spooc_head_shot## Cloakers with headshots. Using Melee does not count towards this challenge!"
"ch_golden_boy","Beat all original heists on OVERKILL 145+ difficulty and show them all you are on top! Completing this will make you golden!"
"ch_bridge_overkill_no_trade_hl","Green Bridge: Don't lose face"
"ch_mossberg_vs_the_law_6_hl","Locomotive 12G VS. the Law VI"
"8db63936938575bf",""
"8db63936938575bf",""
"ch_street_on_overkill","Complete Heat Street on OVERKILL difficulty."
"ch_mossberg_cop_kill","Using the Locomotive 12G, defeat ##mossberg_cop_kill## Cops. Using Melee does not count towards this challenge!"
"ch_glock_head_shots_4_hl","STRYK VS. the Law Headshot IV"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_bank_no_deaths","Complete First World Bank on hard difficulty without being taken into custody."
"ch_meat_packing_hl","Meat packin'"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_m4_vs_the_law_3_hl","Amcar-4 VS. the Law III"
"ch_intimidating_hl","Intimidating"
"ch_cant_touch_hl","Easy street"
"ch_mp5_shield_head_shot","Using the Compact-5, defeat ##mp5_shield_head_shot## Shields with headshots. Using Melee does not count towards this challenge!"
"ch_suburbia_on_overkill_hl","COUNTERFEIT: OVERKILL"
"ch_golden_boy_hl","You are GOLDEN! OVERKILL salutes you!"
"8db63936938575bf",""
"ch_m79_simultaneous_kills_3_hl","GL40 Cluster Kill III"
"8db63936938575bf",""
"8db63936938575bf",""
"ch_me_vs_the_law_head_shot","Defeat ##law_head_shot## Law enforcers with headshots. Using Melee does not count towards this challenge!"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_trip_mine_vs_the_law_4_hl","Trip Mines VS. the Law IV"
"8db63936938575bf",""
"ch_melee","Defeat ##melee_law_kill## Law enforcers with melee attacks."
"ch_take_sapphires_hl","Are those the blue ones?"
"ch_reinbeck_head_shots_3_hl","Reinbeck 880 expert III"
"ch_mossberg_head_shots_4_hl","Locomotive 12G expert IV"
"8db63936938575bf",""
"ch_cheney_hl","Cheney?"
"8db63936938575bf",""
"8db63936938575bf",""
"ch_hk21_head_shots_1_hl","Brenner 21 expert I"
"8db63936938575bf",""
"8db63936938575bf",""
"ch_m79_simultaneous_kills_4_hl","GL40 Cluster Kill IV"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_reinbeck_head_shots_4_hl","Reinbeck 880 expert IV"
"8db63936938575bf",""
"8db63936938575bf",""
"ch_hos_afraid_of_the_dark","In NO MERCY, get the power back up within 5 seconds of it being shut down. To complete this challenge, you will have to have played the heist from the start."
"8db63936938575bf",""
"ch_bronco_tank_kill_1_hl","Bronco .44 VS. Bulldozers"
"ch_stand_together","Beat HEAT STREET on normal difficulty or above without anyone getting downed. To complete this challenge, you will have to have played the heist from the start."
"8db63936938575bf",""
"ch_beretta92_vs_the_law_2_hl","B9-S VS. the Law II"
"ch_hk21_head_shots_4_hl","Brenner 21 expert IV"
"ch_beretta92_head_shots_3_hl","B9-S expert III"
"8db63936938575bf",""
"ch_glock_head_shots","Using the STRYK, defeat ##glock_law_head_shot## Law enforcers with headshots. Using Melee does not count towards this challenge!"
"8db63936938575bf",""
"8db63936938575bf",""
"ch_hk21_head_shots_3_hl","Brenner 21 expert III"
"8db63936938575bf",""
"ch_mp5_vs_the_law_1_hl","Compact-5 VS. the Law I"
"8db63936938575bf",""
"ch_mac11_vs_the_law_6_hl","Mark 11 VS. the Law VI"
"ch_reinbeck_vs_the_law_4_hl","Reinbeck 880 VS. the Law IV"
"ch_reinbeck_vs_the_law_6_hl","Reinbeck 880 VS. the Law VI"
"8db63936938575bf",""
"ch_hk21_shield_kill_1_hl","Brenner 21 VS. Shields"
"8db63936938575bf",""
"ch_payday","Aquire one billion dollars in total cash. One. BILLION. Dollars."
"8db63936938575bf",""
"ch_tiedown_civilian_hl","Don't go anywhere!"
"ch_civil_disobedience_hl","Civil disobedience"
"8db63936938575bf",""
"ch_tris_tripmine_hl","Three guys went on a Trip"
"8db63936938575bf",""
"ch_bank_no_civilians","Complete First World Bank on hard difficulty without killing any civilians."
"ch_bronco_vs_the_law_1_hl","Bronco .44 VS. the Law I"
"ch_mossberg_head_shots","Using the Locomotive 12G, defeat ##mossberg_law_head_shot## Law enforcers with headshots. Using Melee does not count towards this challenge!"
"8db63936938575bf",""
"ch_melee_2_hl","Saving bullets II"
"8db63936938575bf",""
"ch_the_darkness","On GREEN BRIDGE, destroy all the lights in the main scaffolding tower. To complete this challenge, you will have to have played the heist from the start."
"8db63936938575bf",""
"ch_aquire_money_7_hl","...and that's a lot of cash VII"
"ch_me_vs_the_law_head_shot_3_hl","Me VS. the Law Headshot III"
"8db63936938575bf",""
"8db63936938575bf",""
"ch_diamond_heist_no_deaths","Complete Diamond Heist on hard difficulty without being taken into custody."
"ch_secret_stash_no_bleedouts","Complete UNDERCOVER on hard difficulty without going into bleedout."
"ch_me_vs_spooc","Defeat ##spooc_kill## Cloakers. Using Trip Mines or Melee does not count towards this challenge!"
"ch_mp5_head_shots_1_hl","Compact-5 expert I"
"ch_reinbeck_head_shots_2_hl","Reinbeck 880 expert II"
"ch_aquire_money_5","Acquire $300,000,000 in cash."
"ch_me_vs_fbi_hl","Me VS. FBI Agents"
"8db63936938575bf",""
"ch_dont_lose_face_hl","Don't lose face"
"ch_suburbia_on_overkill_145","Complete COUNTERFEIT on OVERKILL 145+ difficulty."
"8db63936938575bf",""
"ch_me_vs_the_law_head_shot_5_hl","Me VS. the Law Headshot V"
"ch_suburbia_no_deaths","Complete COUNTERFEIT on hard difficulty, without being taken into custody."
"ch_m79_simultaneous_specials_1_hl","GL40 Special Treat"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_deploy_ammobag_hl","Ammo provider"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_apartment_overkill_no_trade_hl","Panic Room: Don't lose face"
"ch_slaughterhouse_no_bleedouts_hl","Slaughterhouse: Bulletproof"
"ch_bullet_to_bleed_out_hl","Down, but not dead"
"ch_christmas_present","In multiplayer, find a Xmas present on any level."
"8db63936938575bf",""
"ch_saviour_hl","Saviour"
"ch_glock_head_shots_1_hl","STRYK VS. the Law Headshot I"
"ch_c45_head_shots_1_hl","Crosskill .45 expert I"
"ch_beretta92_taser_kill","Using the B9-S, defeat ##beretta92_taser_kill## tasers. Using Melee does not count towards this challenge!"
"ch_m14_vs_the_law_3_hl","M308 VS. the Law III"
"ch_me_vs_cop_hl","Me VS. the Cops"
"ch_me_vs_heavy_swat","Defeat ##heavy_swat_kill## Heavy SWAT. Using Trip Mines or Melee does not count towards this challenge!"
"ch_reinbeck_spooc_kill_1_hl","Reinbeck 880 VS. Cloakers"
"ch_diamond_heist_no_civilians_hl","Diamond Heist: Clean hit"
"ch_got_your_back","Get traded for a hostage in your first game."
"8db63936938575bf",""
"ch_hk21_vs_the_law_3_hl","Brenner 21 VS. the Law III"
"ch_akimbo","Get a secondary weapon."
"ch_one_shot_one_kill_hl","One shot, one kill - repeat"
"ch_m79_vs_the_law_5_hl","GL40 VS. the Law V"
"ch_apartment_on_overkill","Complete Panic Room on OVERKILL difficulty."
"8db63936938575bf",""
"ch_bleed_out_kill_4_hl","Wait, I'm not dead yet! IV"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_diamond_heist_no_bleedouts","Complete Diamond Heist on hard difficulty without going into bleedout."
"ch_m14_vs_the_law","Using the M308, defeat ##m14_law_kill## Law enforcers. Using Melee does not count towards this challenge!"
"8db63936938575bf",""
"ch_pacifist_hl","Pacifist"
"8db63936938575bf",""
"ch_street_no_deaths","Complete Heat Street on hard difficulty without being taken into custody."
"ch_bank_no_civilians_hl","First World Bank: Clean hit"
"ch_bleed_out_multikill_hl","Legendary last stand"
"8db63936938575bf",""
"8db63936938575bf",""
"ch_bank_on_overkill_145_hl","Bank on me"
"8db63936938575bf",""
"8db63936938575bf",""
"ch_slaughterhouse_on_overkill","Complete Slaughterhouse on OVERKILL difficulty."
"ch_bronco_head_shots_3_hl","Bronco .44 expert III"
"8db63936938575bf",""
"8db63936938575bf",""
"ch_apartment_on_overkill_hl","Panic Room: OVERKILL"
"ch_m14_head_shots_1_hl","M308 expert I"
"ch_bleed_out_kill_3_hl","Wait, I'm not dead yet! III"
"8db63936938575bf",""
"ch_windowlicker_hl","Windowlicker"
"ch_bridge_no_deaths","Complete Green Bridge on hard difficulty without being taken into custody."
"ch_tiedown_cop_hl","Owning the Police"
"ch_c45_vs_the_law","Using the Crosskill, defeat ##c45_law_kill## Law enforcers. Using Melee does not count towards this challenge!"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_me_vs_tank_hl","Me VS. Bulldozers"
"ch_mac11_head_shots_3_hl","Mark 11 expert III"
"ch_dodge_this_hl","Dodge this!"
"ch_glock_vs_the_law","Using the STRYK, defeat ##glock_law_kill## Law enforcers. Using Melee does not count towards this challenge!"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_mp5_shield_head_shot_1_hl","Compact-5 VS. Shields"
"8db63936938575bf",""
"ch_hk21_vs_the_law_1_hl","Brenner 21 VS. the Law I"
"ch_secret_stash_no_bleedouts_hl","UNDERCOVER: Bulletproof"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_m79_vs_the_law_1_hl","GL40 VS. the Law I"
"8db63936938575bf",""
"8db63936938575bf",""
"ch_me_vs_the_law_head_shot_2_hl","Me VS. the Law Headshot II"
"8db63936938575bf",""
"ch_ready_yet_hl","Are you ready yet?"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_mp5_vs_the_law_5_hl","Compact-5 VS. the Law V"
"8db63936938575bf",""
"8db63936938575bf",""
"ch_diplomatic_hl","Diplomatic"
"ch_apartment_no_bleedouts_hl","Panic Room: Bulletproof"
"ch_overkill","Do it all!"
"ch_sentry_gun_vs_the_law_2_hl","SENTRY GUN VS. the Law II"
"ch_m79_vs_the_law","Using the GL40, defeat ##m79_law_kill## Law enforcers. Using Melee does not count towards this challenge!"
"ch_mossberg_vs_the_law_3_hl","Locomotive 12G VS. the Law III"
"8db63936938575bf",""
"8db63936938575bf",""
"ch_me_vs_the_law_head_shot_4_hl","Me VS. the Law Headshot IV"
"8db63936938575bf",""
"ch_bridge_no_civilians","Complete Green Bridge on hard difficulty without killing any civilians."
"ch_kill_cameras_hl","No photos"
"ch_reinbeck_head_shots","Using the Reinbeck 880, defeat ##reinbeck_law_head_shot## Law enforcers with headshots. Using Melee does not count towards this challenge!"
"ch_payday_cat_hl","PAYDAY: The Heist"
"ch_me_vs_taser_hl","Me VS. Tasers"
"ch_sentry_gun_row_kills","Using the SENTRY GUN, defeat ##sentry_gun_law_row_kills## Law enforcers in a row."
"ch_slaughterhouse_no_deaths","Complete Slaughterhouse on hard difficulty without being taken into custody."
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_grim_reaper","Defeat a Law enforcer while you're in custody."
"8db63936938575bf",""
"ch_m4_vs_the_law","Using the Amcar-4, defeat ##m4_law_kill## Law enforcers. Using Melee does not count towards this challenge!"
"ch_diamond_heist_on_overkill","Complete Diamond Heist on OVERKILL difficulty."
"ch_bridge_on_overkill_145","Beat GREEN BRIDGE on OVERKILL 145+ difficulty. To complete this challenge, you will have to have played the heist from the start."
"ch_slaughterhouse_on_overkill_hl","Slaughterhouse: OVERKILL"
"8db63936938575bf",""
"ch_mp5_head_shots_2_hl","Compact-5 expert II"
"ch_plant_tripmine_hl","Trip Mine plantation"
"8db63936938575bf",""
"ch_aquire_money_6","Acquire $400,000,000 in cash."
"8db63936938575bf",""
"8db63936938575bf",""
"ch_mossberg_head_shots_3_hl","Locomotive 12G expert III"
"8db63936938575bf",""
"ch_ak47_vs_the_law_4_hl","AK VS. the Law IV"
"8db63936938575bf",""
"ch_revived_hl","Thanks, I owe you one!"
"8db63936938575bf",""
"ch_m4_head_shots_1_hl","Amcar-4 expert I"
"8db63936938575bf",""
"ch_grim_reaper_hl","Grim reaper"
"ch_chavez_can_run_hl","You can run but you can't hide"
"ch_c45_vs_the_law_6_hl","Crosskill .45 VS. the Law VI"
"8db63936938575bf",""
"ch_diamond_heist_overkill_no_trade","Complete Diamond Heist on OVERKILL difficulty without anyone getting traded from custody."
"8db63936938575bf",""
"ch_melee_3_hl","Saving bullets III"
"ch_left_for_dead_hl","Left for dead"
"ch_one_shot_one_kill","Get 30 kills using 30 shots, using only the M308 Rifle."
"8db63936938575bf",""
"ch_slaughterhouse_no_civilians_hl","Slaughterhouse: Clean hit"
"8db63936938575bf",""
"ch_bank_on_overkill_145","Beat FIRST WORLD BANK on OVERKILL 145+ difficulty. To complete this challenge, you will have to have played the heist from the start."
"ch_m4_head_shots","Using the Amcar-4, defeat ##m4_law_head_shot## Law enforcers with headshots. Using Melee does not count towards this challenge!"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_mossberg_vs_the_law_2_hl","Locomotive 12G VS. the Law II"
"ch_aquire_money_9","Acquire $800,000,000 in cash."
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_m14_head_shots_4_hl","M308 expert IV"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_bronco_head_shots_2_hl","Bronco .44 expert II"
"ch_me_vs_cop","Defeat ##cop_kill## Cops. Using Trip Mines or Melee does not count towards this challenge!"
"8db63936938575bf",""
"ch_blow_out_hl","Blow-out"
"ch_c45_head_shots","Using the Crosskill, defeat ##c45_law_head_shot## Law enforcers with headshots. Using Melee does not count towards this challenge!"
"8db63936938575bf",""
"8db63936938575bf",""
"ch_sentry_gun_row_kills_1_hl","SENTRY GUN Kills in a Row I"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_mac11_heavy_swat_kill","Using the Mark 11, defeat ##mac11_heavy_swat_kill## Heavy SWATS. Using Melee does not count towards this challenge!"
"8db63936938575bf",""
"8db63936938575bf",""
"ch_m4_vs_the_law_6_hl","Amcar-4 VS. the Law VI"
"ch_c45_vs_the_law_4_hl","Crosskill .45 VS. the Law IV"
"8db63936938575bf",""
"8db63936938575bf",""
"ch_suburbia_on_overkill","Complete COUNTERFEIT on OVERKILL difficulty."
"8db63936938575bf",""
"ch_bridge_overkill_no_trade","Complete Green Bridge on OVERKILL difficulty without anyone getting traded from custody."
"ch_slaughterhouse_no_civilians","Complete Slaughterhouse on hard difficulty without killing any civilians."
"ch_the_darkness_hl","Darkness"
"8db63936938575bf",""
"ch_bleed_out_kill_2_hl","Wait, I'm not dead yet! II"
"ch_blood_in_blood_out_hl","Blood in, blood out"
"ch_c45_head_shots_2_hl","Crosskill .45 expert II"
"ch_bronco_vs_the_law_5_hl","Bronco .44 VS. the Law V"
"ch_me_vs_heavy_swat_hl","Me VS. Heavy SWAT"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_dozen_angry_hl","I pushed the button and lived!"
"8db63936938575bf",""
"8db63936938575bf",""
"ch_street_overkill_no_trade_hl","Heat Street: Don't lose face"
"ch_me_vs_fbi","Defeat ##fbi_kill## FBI Agents. Using Trip Mines or Melee does not count towards this challenge!"
"ch_never_downed_hl","Flawless"
"ch_mossberg_head_shots_2_hl","Locomotive 12G expert II"
"8db63936938575bf",""
"ch_bronco_vs_the_law_6_hl","Bronco .44 VS. the Law VI"
"ch_m14_head_shots","Using the M308, defeat ##m14_law_head_shot## Law enforcers with headshots. Using Melee does not count towards this challenge!"
"8db63936938575bf",""
"8db63936938575bf",""
"ch_reinbeck_vs_the_law_2_hl","Reinbeck 880 VS. the Law II"
"8db63936938575bf",""
"ch_m79_simultaneous_kills","Using the GL40, defeat ##m79_law_simultaneous_kills## Law enforcers simultaneously."
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_m4_vs_the_law_4_hl","Amcar-4 VS. the Law IV"
"8db63936938575bf",""
"ch_m14_head_shots_3_hl","M308 expert III"
"ch_mp5_head_shots_4_hl","Compact-5 expert IV"
"8db63936938575bf",""
"8db63936938575bf",""
"ch_me_vs_spooc_hl","Me VS. Cloakers"
"ch_aquire_money_2","Acquire $50,000,000 in cash."
"ch_tiedown_swat","Force ##tiedown_swat## blue SWATs to cuff themselves."
"8db63936938575bf",""
"ch_bullet_to_bleed_out","Go into bleedout from enemy fire."
"ch_crowd_control","Beat COUNTERFEIT without letting any hostage escape or die. To complete this challenge, you will have to have played the heist from the start."
"8db63936938575bf",""
"8db63936938575bf",""
"ch_bank_overkill_no_trade_hl","First World Bank: Don't lose face"
"ch_diamond_heist_no_civilians","Complete Diamond Heist on hard difficulty without killing any civilians."
"8db63936938575bf",""
"8db63936938575bf",""
"ch_take_sapphires","Steal all the sapphires in DIAMOND HEIST on hard or OVERKILL difficulty. To complete this challenge, you will have to have played the heist from the start."
"8db63936938575bf",""
"ch_ninja_hl","Shinobi"
"ch_civil_disobedience","Defeat 100 law enforcers in a single heist."
"8db63936938575bf",""
"8db63936938575bf",""
"ch_mac11_vs_the_law_1_hl","Mark 11 VS. the Law I"
"ch_secret_stash_on_overkill_hl","UNDERCOVER: OVERKILL"
"ch_beretta92_head_shots_4_hl","B9-S expert IV"
"ch_aquire_money_7","Acquire $500,000,000 in cash."
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_trip_mine_vs_the_law_2_hl","Trip Mines VS. the Law II"
"8db63936938575bf",""
"ch_suburbia_no_bleedouts","Complete COUNTERFEIT on hard difficulty without going into bleedout."
"ch_bank_no_bleedouts","Complete First World Bank heist on hard difficulty without going into bleedout."
"8db63936938575bf",""
"ch_bridge_no_bleedouts_hl","Green Bridge: Bulletproof"
"ch_never_downed","Complete one entire successful session without getting downed."
"8db63936938575bf",""
"8db63936938575bf",""
"ch_citys_finest_hl","The city's finest"
"8db63936938575bf",""
"ch_mac11_vs_the_law_5_hl","Mark 11 VS. the Law V"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_apartment_no_civilians_hl","Panic Room: Clean hit"
"ch_diamond_heist_overkill_no_trade_hl","Diamond Heist: Don't lose face"
"ch_me_vs_taser","Defeat ##taser_kill## Tasers. Using Trip Mines or Melee does not count towards this challenge!"
"8db63936938575bf",""
"ch_aquire_money_10_hl","...and that's a lot of cash X"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_trip_mine_vs_the_law","Defeat ##trip_mine_law_kill## Law enforcers using your Trip Mines. Using Melee does not count towards this challenge!"
"ch_trip_mine_vs_the_law_3_hl","Trip Mines VS. the Law III"
"8db63936938575bf",""
"ch_aquire_money_2_hl","...and that's a lot of cash II"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_glock_vs_the_law_1_hl","STRYK VS. the Law I"
"ch_mp5_vs_the_law","Using the Compact-5, defeat ##mp5_law_kill## Law enforcers. Using Melee does not count towards this challenge!"
"ch_m14_taser_head_shot","Using the M308, defeat ##m14_taser_head_shot## Tasers with headshots. Using Melee does not count towards this challenge!"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_mac11_vs_the_law","Using the Mark 11, defeat ##mac11_law_kill## Law enforcers. Using Melee does not count towards this challenge!"
"8db63936938575bf",""
"ch_beretta92_taser_kill_1_hl","B9-S VS. Tasers"
"ch_aquire_money_8","Acquire $600,000,000 in cash."
"ch_payday_hl","PAYDAY"
"ch_street_overkill_no_trade","Complete Heat Street on OVERKILL difficulty without anyone getting traded from custody."
"ch_apartment_no_deaths_hl","Panic Room: Like a pro"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_m4_vs_the_law_1_hl","Amcar-4 VS. the Law I"
"ch_c45_fbi_kill","Using the Crosskill, defeat ##c45_fbi_kill## FBI agents. Using Melee does not count towards this challenge!"
"ch_aquire_money_4_hl","...and that's a lot of cash IV"
"ch_bridge_on_overkill_145_hl","Beat the shield"
"ch_m4_head_shots_2_hl","Amcar-4 expert II"
"ch_me_vs_the_law_head_shot_1_hl","Me VS. the Law Headshot I"
"ch_m14_vs_the_law_2_hl","M308 VS. the Law II"
"ch_trip_mine_vs_the_law_1_hl","Trip Mines VS. the Law I"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_beretta92_vs_the_law_3_hl","B9-S VS. the Law III"
"8db63936938575bf",""
"ch_suburbia_no_deaths_hl","COUNTERFEIT: Like a pro"
"8db63936938575bf",""
"8db63936938575bf",""
"ch_bridge_on_overkill_hl","Green Bridge: OVERKILL"
"ch_mac11_vs_the_law_3_hl","Mark 11 VS. the Law III"
"ch_mac11_vs_the_law_2_hl","Mark 11 VS. the Law II"
"8db63936938575bf",""
"ch_ninja","Bypassing all 3 consoles before raising the alarm, beat DIAMOND HEIST on hard or OVERKILL difficulty. To complete this challenge, you will have to have played the heist from the start."
"ch_c45_vs_the_law_2_hl","Crosskill .45 VS. the Law II"
"ch_me_vs_the_law_1_hl","Me VS. the Law I"
"8db63936938575bf",""
"8db63936938575bf",""
"ch_dodge_this","Beat a heist on normal difficulty or above, having killed a Bulldozer without taking damage from any Bulldozer. To complete this challenge, you will have to have played the heist from the start."
"ch_dual_tripmine_hl","Two guys went on a Trip"
"ch_ak47_vs_the_law_2_hl","AK VS. the Law II"
"ch_bank_on_overkill","Complete First World Bank on OVERKILL difficulty."
"8db63936938575bf",""
"ch_hk21_vs_the_law_6_hl","Brenner 21 VS. the Law VI"
"ch_hk21_vs_the_law","Using the Brenner 21, defeat ##hk21_law_kill## Law enforcers. Using Melee does not count towards this challenge!"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_m4_vs_the_law_5_hl","Amcar-4 VS. the Law V"
"ch_tiedown_law","Force ##tiedown_law## Law enforcers to cuff themselves."
"ch_revive_2_hl","A helping hand II"
"8db63936938575bf",""
"8db63936938575bf",""
"ch_glock_vs_the_law_3_hl","STRYK VS. the Law III"
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"8db63936938575bf",""
"ch_plant_tripmine","Plant ##plant_tripmine## Trip Mines."
"ch_aquire_money_8_hl","...and that's a lot of cash VIII"
"8db63936938575bf",""
"8db63936938575bf",""
"ch_last_man_standing_hl","Last man standing"
"ch_mp5_vs_the_law_2_hl","Compact-5 VS. the Law II"
"8db63936938575bf",""
"8db63936938575bf",""
"ch_aquire_money_3_hl","...and that's a lot of cash III"
"8db63936938575bf",""
"8db63936938575bf",""
